Type;FSW-43;
Version;5.10SP1;
Date;20. Apr 23;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;5.004.000.000.000;Hz
Freq Offset;0.000000;Hz
Start;8.000.000.000;Hz
Stop;10.000.000.000.000;Hz
Span;9.992.000.000.000;Hz
Ref Level;107.000.000;dBµV
Level Offset;0.000000;dB
Rf Att;10.000.000;dB
El Att;0.000000;dB
RBW;50.000.000.000;Hz
VBW;50.000.000.000;Hz
SWT;0.000084;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000.000;%
Level Range;100.000.000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBµV;
Trace;1;
Trace Mode;AVERAGE;
Detector;SAMPLE;
Values;4000;
8000;59.357.025.146.484.300;
10.498.624.656.164.000.000;598.024.139.404.296.000;
12.997.249.312.328.000.000;6.019.754.791.259.760.000;
15.495.873.968.492.100.000;6.053.369.903.564.450.000;
17.994.498.624.656.100.000;60.808.925.628.662.100.000;
20.493.123.280.820.200.000;61.025.852.203.369.100.000;
22.991.747.936.984.200.000;6.118.949.127.197.260.000;
2.549.037.259.314.820.000;61.303.436.279.296.800;
27.988.997.249.312.300.000;61.375.904.083.251.900.000;
30.487.621.905.476.300.000;61.522.579.193.115.200.000;
32.986.246.561.640.400.000;6.182.456.207.275.390.000;
35.484.871.217.804.400.000;62.089.572.906.494.100.000;
37.983.495.873.968.400.000;62.272.083.282.470.700.000;
40.482.120.530.132.500.000;62.506.679.534.912.100.000;
42.980.745.186.296.500.000;62.761.325.836.181.600.000;
45.479.369.842.460.600.000;6.295.014.190.673.820.000;
4.797.799.449.862.460.000;63.083.896.636.962.800.000;
5.047.661.915.478.870.000;63.176.868.438.720.700.000;
52.975.243.810.952.700.000;63.232.189.178.466.700.000;
55.473.868.467.116.700.000;6.325.986.480.712.890.000;
57.972.493.123.280.800.000;6.326.634.979.248.040.000;
60.471.117.779.444.800.000;63.260.974.884.033.200.000;
62.969.742.435.608.900.000;6.324.687.957.763.670.000;
65.468.367.091.772.900.000;6.321.435.546.875;
6.796.699.174.793.700.000;6.317.670.440.673.820.000;
70.465.616.404.101.000.000;631.322.021.484.375;
72.964.241.060.265.000.000;63.042.724.609.375;
75.462.865.716.429.100.000;6.290.387.725.830.070.000;
77.961.490.372.593.100.000;6.277.593.994.140.620;
80.460.115.028.757.200.000;62.600.231.170.654.200.000;
82.958.739.684.921.200.000;624.111.480.712.890.000;
85.457.364.341.085.300.000;6.220.796.966.552.730.000;
87.955.988.997.249.300.000;6.200.485.992.431.640.000;
90.454.613.653.413.300.000;618.275.299.072.265.000;
92.953.238.309.577.400.000;6.169.271.087.646.480.000;
95.451.862.965.741.400.000;61.586.231.231.689.400.000;
97.950.487.621.905.500.000;61.502.414.703.369.100.000;
10.044.911.227.806.900.000;61.443.904.876.708.900.000;
10.294.773.693.423.300.000;61.413.051.605.224.600.000;
10.544.636.159.039.700.000;61.408.557.891.845.700.000;
10.794.498.624.656.100.000;6.142.600.250.244.140.000;
11.044.361.090.272.500.000;614.609.375;
11.294.223.555.888.900.000;61.512.088.775.634.700.000;
11.544.086.021.505.300.000;61.582.553.863.525.300.000;
11.793.948.487.121.700.000;6.168.175.506.591.790.000;
12.043.810.952.738.100.000;61.826.419.830.322.200.000;
12.293.673.418.354.500.000;6.202.722.930.908.200.000;
12.543.535.883.971.000.000;6.226.781.463.623.040.000;
12.793.398.349.587.400.000;62.513.153.076.171.800;
13.043.260.815.203.800.000;62.733.966.827.392.500.000;
13.293.123.280.820.200.000;62.913.562.774.658.200.000;
13.542.985.746.436.600.000;63.043.308.258.056.600.000;
13.792.848.212.053.000.000;63.117.938.995.361.300.000;
1.404.271.067.766.940.000;6.313.275.909.423.820.000;
14.292.573.143.285.800.000;63.082.492.828.369.100.000;
1.454.243.560.890.220.000;62.972.034.454.345.700.000;
14.792.298.074.518.600.000;628.742.828.369.140.000;
15.042.160.540.135.000.000;6.278.836.822.509.760.000;
15.292.023.005.751.400.000;6.260.207.366.943.350.000;
15.541.885.471.367.800.000;62.661.869.049.072.200.000;
15.791.747.936.984.200.000;62.785.396.575.927.700.000;
16.041.610.402.600.600.000;6.286.981.964.111.320.000;
16.291.472.868.217.000.000;62.932.598.114.013.600.000;
16.541.335.333.833.400.000;6.296.484.375;
16.791.197.799.449.800.000;62.963.832.855.224.600.000;
17.041.060.265.066.200.000;62.930.278.778.076.100.000;
17.290.922.730.682.600.000;6.286.679.840.087.890.000;
17.540.785.196.299.000.000;6.277.851.104.736.320.000;
17.790.647.661.915.400.000;62.672.527.313.232.400.000;
18.040.510.127.531.800.000;625.563.812.255.859.000;
18.290.372.593.148.200.000;62.436.779.022.216.700.000;
18.540.235.058.764.600.000;62.318.080.902.099.600.000;
18.790.097.524.381.000.000;62.198.123.931.884.700.000;
19.039.959.989.997.400.000;620.653.533.935.546.000;
1.928.982.245.561.380.000;6.190.521.240.234.370;
19.539.684.921.230.200.000;61.703.731.536.865.200.000;
1.978.954.738.684.660.000;61.447.479.248.046.800;
20.039.409.852.463.000.000;61.120.319.366.455.000.000;
20.289.272.318.079.400.000;60.698.322.296.142.500.000;
20.539.134.783.695.800.000;60.143.951.416.015.600;
20.788.997.249.312.300.000;5.942.372.894.287.100.000;
21.038.859.714.928.700.000;5.888.307.952.880.850.000;
21.288.722.180.545.100.000;58.967.487.335.205.000.000;
21.538.584.646.161.500.000;590.367.889.404.296.000;
21.788.447.111.777.900.000;59.021.091.461.181.600.000;
22.038.309.577.394.300.000;58.988.727.569.580.000.000;
22.288.172.043.010.700.000;58.895.832.061.767.500.000;
22.538.034.508.627.100.000;5.873.091.888.427.730.000;
22.787.896.974.243.500.000;59.010.746.002.197.200.000;
23.037.759.439.859.900.000;59.313.262.939.453.100;
23.287.621.905.476.300.000;59.439.502.716.064.400.000;
23.537.484.371.092.700.000;59.528.961.181.640.600;
23.787.346.836.709.100.000;596.162.567.138.671.000;
2.403.720.930.232.550.000;597.197.723.388.671.000;
24.287.071.767.941.900.000;59.850.597.381.591.700.000;
2.453.693.423.355.830.000;6.009.618.377.685.540.000;
24.786.796.699.174.700.000;60.378.570.556.640.600;
25.036.659.164.791.100.000;60.630.340.576.171.800;
25.286.521.630.407.500.000;60.818.477.630.615.200.000;
25.536.384.096.023.900.000;609.200.439.453.125;
25.786.246.561.640.300.000;60.947.650.909.423.800.000;
26.036.109.027.256.700.000;608.788.299.560.546.000;
26.285.971.492.873.100.000;60.684.906.005.859.300;
26.535.833.958.489.500.000;60.398.448.944.091.700.000;
26.785.696.424.105.900.000;60.384.471.893.310.500.000;
27.035.558.889.722.300.000;6.068.093.109.130.850.000;
27.285.421.355.338.700.000;6.089.093.780.517.570.000;
27.535.283.820.955.100.000;60.971.996.307.373.000.000;
27.785.146.286.571.500.000;60.940.196.990.966.700.000;
28.035.008.752.187.900.000;60.891.193.389.892.500.000;
28.284.871.217.804.300.000;60.946.331.024.169.900.000;
28.534.733.683.420.700.000;60.972.660.064.697.200.000;
28.784.596.149.037.100.000;609.452.667.236.328.000;
29.034.458.614.653.500.000;608.919.677.734.375;
2.928.432.108.027.000.000;60.848.114.013.671.800;
29.534.183.545.886.400.000;60.866.943.359.375;
2.978.404.601.150.280.000;60.920.337.677.001.900.000;
30.033.908.477.119.200.000;609.616.546.630.859.000;
30.283.770.942.735.600.000;6.098.009.490.966.790.000;
30.533.633.408.352.000.000;6.097.136.688.232.420.000;
30.783.495.873.968.400.000;60.927.478.790.283.200.000;
31.033.358.339.584.800.000;60.845.294.952.392.500.000;
31.283.220.805.201.200.000;60.751.522.064.208.900.000;
31.533.083.270.817.600.000;60.618.404.388.427.700.000;
31.782.945.736.434.000.000;60.439.044.952.392.500.000;
32.032.808.202.050.400.000;60.230.533.599.853.500.000;
32.282.670.667.666.800.000;60.007.717.132.568.300.000;
32.532.533.133.283.200.000;59.715.068.817.138.600.000;
32.782.395.598.899.600.000;5.927.819.061.279.290.000;
33.032.258.064.516.000.000;5.866.162.109.375;
33.282.120.530.132.400.000;58.937.286.376.953.100;
33.531.982.995.748.800.000;5.917.394.256.591.790.000;
33.781.845.461.365.200.000;59.293.888.092.041.000.000;
34.031.707.926.981.600.000;59.353.298.187.255.800.000;
34.281.570.392.598.000.000;593.520.965.576.171.000;
3.453.143.285.821.440.000;59.291.961.669.921.800;
34.781.295.323.830.800.000;5.917.440.032.958.980.000;
3.503.115.778.944.720.000;589.953.765.869.140.000;
35.281.020.255.063.600.000;58.748.638.153.076.100.000;
35.530.882.720.680.000.000;58.438.076.019.287.100.000;
35.780.745.186.296.400.000;581.258.392.333.984.000;
36.030.607.651.912.800.000;5.797.953.033.447.260.000;
36.280.470.117.529.200.000;5.800.179.290.771.480.000;
36.530.332.583.145.600.000;58.013.645.172.119.100.000;
